,hour,date_hour_start,solar_electricity_generation_kwh,electricity_usage_kwh ,net_electricity,month
0,0,2020-01-01 00:00:00,0.0,1.509849,-1.509849,1
1,1,2020-01-01 01:00:00,0.0,1.4118587999999999,-1.4118587999999999,1
2,2,2020-01-01 02:00:00,0.0,1.0238976,-1.0238976,1
3,3,2020-01-01 03:00:00,0.0,0.642,-0.642,1
4,4,2020-01-01 04:00:00,0.0,0.96,-0.96,1
5,5,2020-01-01 05:00:00,0.012,0.897,-0.885,1
6,6,2020-01-01 06:00:00,0.006,0.648,-0.642,1
7,7,2020-01-01 07:00:00,0.009000000000000001,0.774,-0.765,1
8,8,2020-01-01 08:00:00,0.012,1.299,-1.287,1
9,9,2020-01-01 09:00:00,0.8459999999999999,0.6060000000000001,0.23999999999999977,1
10,10,2020-01-01 10:00:00,0.0,0.0,0.0,1
11,11,2020-01-01 11:00:00,0.0,0.0,0.0,1
12,12,2020-01-01 12:00:00,0.651,0.396,0.255,1
13,13,2020-01-01 13:00:00,0.363,0.615,-0.252,1
14,14,2020-01-01 14:00:00,0.30300000000000005,1.419,-1.116,1
15,15,2020-01-01 15:00:00,0.159,1.4369999999999998,-1.2779999999999998,1
16,16,2020-01-01 16:00:00,0.081,3.1049999999999995,-3.0239999999999996,1
18,18,2020-01-01 18:00:00,0.0,8.929800000000002,-8.929800000000002,1
19,19,2020-01-01 19:00:00,0.021,2.2176,-2.1966,1
20,20,2020-01-01 20:00:00,0.003,4.4286,-4.4256,1
21,21,2020-01-01 21:00:00,0.003,6.789,-6.786,1
22,22,2020-01-01 22:00:00,0.006,1.806,-1.8,1
23,23,2020-01-01 23:00:00,0.0,0.9359064,-0.9359064,1
24,0,2020-01-02 00:00:00,0.0,0.7339266,-0.7339266,1
25,1,2020-01-02 01:00:00,0.0,0.30796919999999994,-0.30796919999999994,1
26,2,2020-01-02 02:00:00,0.0,0.19798020000000002,-0.19798020000000002,1
27,3,2020-01-02 03:00:00,0.0,0.267,-0.267,1
28,4,2020-01-02 04:00:00,0.0,0.162,-0.162,1
29,5,2020-01-02 05:00:00,0.012,0.21599999999999997,-0.20399999999999996,1
30,6,2020-01-02 06:00:00,0.015,0.21299999999999997,-0.19799999999999995,1
31,7,2020-01-02 07:00:00,0.0,0.804,-0.804,1
32,8,2020-01-02 08:00:00,0.026999999999999996,1.179,-1.1520000000000001,1
33,9,2020-01-02 09:00:00,0.276,2.601,-2.325,1
34,10,2020-01-02 10:00:00,0.243,1.3800000000000001,-1.137,1
